崁頂,崁頂,khàm-tíng,kham3 ting2,kh am3 t ing2,kham* ting*,kh am* t ing*
南州,南州,Lâm-tsiu,lam5 tsiu1,l am5 ts iu1,lam* tsiu*,l am* ts iu*
鎮安,鎮安,Tìn-an,tin3 an1,t in3 an1,tin* an*,t in* an*
林邊,林仔邊,Nâ-á-pinn,na5 a2 pinn1,n a5 a2 p inn1,na* a* pinn*,n a* a* p inn*
佳冬,佳冬,ka-tang,ka1 tang1,k a1 t ang1,ka* tang*,k a* t ang*
東海,東海,Tang-hái,tang1 hai2,t ang1 h ai2,tang* hai*,t ang* h ai*
枋寮,枋寮,Pang-liâu,pang1 liau5,p ang1 l iau5,pang* liau*,p ang* l iau*
加祿,加祿,Ka-lo̍k,ka1 lok8,k a1 l ok8,ka* lok*,k a* l ok*
內獅,內獅,Lāi-sai,lai7 sai1,l ai7 s ai1,lai* sai*,l ai* s ai*
枋山,枋山,Pang-suann,pang1 suann1,p ang1 s uann1,pang* suann*,p ang* s uann*
大武,大武,Tāi-bú,tai7 bu2,t ai7 b u2,tai* bu*,t ai* b u*
瀧溪,瀧溪,Liông-khe,liong5 khe1,l iong5 kh e1,liong* khe*,l iong* kh e*
金崙,金崙,Kim-lūn,kim1 lun7,k im1 l un7,kim* lun*,k im* l un*
太麻里,太麻里,Thài-mâ-lí,thai3 ma5 li2,th ai3 m a5 l i2,thai* ma* li*,th ai* m a* l i*
知本,知本,Ti-pún,ti1 pun2,t i1 p un2,ti* pun*,t i* p un*
康樂,康樂,Khong-lo̍k,khong1 lok8,kh ong1 l ok8,khong* lok*,kh ong* l ok*
暖暖,暖暖,Luán-luán,luan2 luan2,l uan2 l uan2,luan* luan*,l uan* l uan*
四腳亭,四腳亭,Sì-kha-tîng,si3 kha1 ting5,s i3 kh a1 t ing5,si* kha* ting*,s i* kh a* t ing*
瑞芳,瑞芳,Suī-hong,sui7 hong1,s ui7 h ong1,sui* hong*,s ui* h ong*
猴硐,猴洞,Kâu-tōng,kau5 tong7,k au5 t ong7,kau* tong*,k au* t ong*
三貂嶺,三貂嶺,Sam-tiau-niá,sam1 tiau1 nia2,s am1 t iau1 n ia2,sam* tiau* nia*,s am* t iau* n ia*
牡丹,牡丹,Bóo-tan,boo2 tan1,b oo2 t an1,boo* tan*,b oo* t an*
雙溪,雙溪,Siang-khe,siang1 khe1,s iang1 kh e1,siang* khe*,s iang* kh e*
貢寮,貢寮,Kòng-liâu,kong3 liau5,k ong3 l iau5,kong* liau*,k ong* l iau*
福隆,福隆,Hok-liông,hok4 liong5,h ok4 l iong5,hok* liong*,h ok* l iong*
石城,石城,Tsio̍h-siânn,tsioh8 siann5,ts ioh8 s iann5,tsioh* siann*,ts ioh* s iann*
大里,大里,Tāi-lí,tai7 li2,t ai7 l i2,tai* li*,t ai* l i*
大溪,大溪,Tāi-khe,tai7 khe1,t ai7 kh e1,tai* khe*,t ai* kh e*
龜山,龜山,Ku-suann,ku1 suann1,k u1 s uann1,ku* suann*,k u* s uann*
外澳,外澳,Guā-ò,gua7 o3,g ua7 o3,gua* o*,g ua* o*
頭城,頭城,Thâu-siânn,thau5 siann5,th au5 s iann5,thau* siann*,th au* s iann*
頂埔,頂埔,Tíng-poo,ting2 poo1,t ing2 p oo1,ting* poo*,t ing* p oo*
礁溪,礁溪,Ta-khe,ta1 khe1,t a1 kh e1,ta* khe*,t a* kh e*
四城,四城,Sì-siânn,si3 siann5,s i3 s iann5,si* siann*,s i* s iann*
宜蘭,宜蘭,Gî-lân,gi5 lan5,g i5 l an5,gi* lan*,g i* l an*
二結,二結,Jī-kiat,ji7 kiat4,j i7 k iat4,ji* kiat*,j i* k iat*
中里,中里,Tiong-lí,tiong1 li2,t iong1 l i2,tiong* li*,t iong* l i*
羅東,羅東,Lô-tong,lo5 tong1,l o5 t ong1,lo* tong*,l o* t ong*
冬山,冬山,Tang-suann,tang1 suann1,t ang1 s uann1,tang* suann*,t ang* s uann*
蘇澳新,蘇澳新,Soo-ò-sin,soo1 o3 sin1,s oo1 o3 s in1,soo* o* sin*,s oo* o* s in*
蘇澳,蘇澳,Soo-ò,soo1 o3,s oo1 o3,soo* o*,s oo* o*
永樂,永樂,Íng-lo̍k,ing2 lok8,ing2 l ok8,ing* lok*,ing* l ok*
東澳,東澳,Tang-ò,tang1 o3,t ang1 o3,tang* o*,t ang* o*
南澳,南澳,Lâm-ò,lam5 o3,l am5 o3,lam* o*,l am* o*
武塔,武塔,Bú-thah,bu2 thah4,b u2 th ah4,bu* thah*,b u* th ah*
漢本,漢本,Hàn-pún,han3 pun2,h an3 p un2,han* pun*,h an* p un*
和平,和平,Hô-pîng,ho5 ping5,h o5 p ing5,ho* ping*,h o* p ing*
和仁,和仁,Hô-jîn,ho5 jin5,h o5 j in5,ho* jin*,h o* j in*
崇德,崇德,Tsông-tik,tsong5 tik4,ts ong5 t ik4,tsong* tik*,ts ong* t ik*
新城,新城,Sin-siânn,sin1 siann5,s in1 s iann5,sin* siann*,s in* s iann*
景美,景美,Kíng-bí,king2 bi2,k ing2 b i2,king* bi*,k ing* b i*
北埔,北埔,Pak-poo,pak4 poo1,p ak4 p oo1,pak* poo*,p ak* p oo*
花蓮,花蓮,Hua-liân,hua1 lian5,h ua1 l ian5,hua* lian*,h ua* l ian*
吉安,吉安,Kiat-an,kiat4 an1,k iat4 an1,kiat* an*,k iat* an*
志學,志學,Tsì-ha̍k,tsi3 hak8,ts i3 h ak8,tsi* hak*,ts i* h ak*
平和,平和,Pîng-hô,ping5 ho5,p ing5 h o5,ping* ho*,p ing* h o*
壽豐,壽豐,Siū-hong,siu7 hong1,s iu7 h ong1,siu* hong*,s iu* h ong*
豐田,豐田,Hong-tiân,hong1 tian5,h ong1 t ian5,hong* tian*,h ong* t ian*
林榮新光,林榮新光,Lîm-îng sin-kong,lim5 ing5 sin1 kong1,l im5 ing5 s in1 k ong1,lim* ing* sin* kong*,l im* ing* s in* k ong*
南平,南平,Lâm-pîng,lam5 ping5,l am5 p ing5,lam* ping*,l am* p ing*
鳳林,鳳林,Hōng-lîm,hong7 lim5,h ong7 l im5,hong* lim*,h ong* l im*
萬榮,萬榮,Bān-îng,ban7 ing5,b an7 ing5,ban* ing*,b an* ing*
光復,光復,Kong-ho̍k,kong1 hok8,k ong1 h ok8,kong* hok*,k ong* h ok*
大富,大富,Tāi-hô,tai7 ho5,t ai7 h o5,tai* ho*,t ai* h o*
富源,富源,Hù-guân,hu3 guan5,h u3 g uan5,hu* guan*,h u* g uan*
瑞穗,水尾,Tsuí-bué,tsui2 bue2,ts ui2 b ue2,tsui* bue*,ts ui* b ue*
三民,三民,Sam-bîn,sam1 bin5,s am1 b in5,sam* bin*,s am* b in*
玉里,玉里,Gio̍k-lí,giok8 li2,g iok8 l i2,giok* li*,g iok* l i*
東里,東里,Tang-lí,tang1 li2,t ang1 l i2,tang* li*,t ang* l i*
東竹,東竹,Tang-tik,tang1 tik4,t ang1 t ik4,tang* tik*,t ang* t ik*
富里,富里,Hù-lí,hu3 li2,h u3 l i2,hu* li*,h u* l i*
池上,池上,Tî-siōng,ti5 siong7,t i5 s iong7,ti* siong*,t i* s iong*
海端,海端,Hái-tuan,hai2 tuan1,h ai2 t uan1,hai* tuan*,h ai* t uan*
關山,關山,Kuan-san,kuan1 san1,k uan1 s an1,kuan* san*,k uan* s an*
瑞和,瑞和,Suī-hô,sui7 ho5,s ui7 h o5,sui* ho*,s ui* h o*
瑞源,瑞源,Suī-guân,sui7 guan5,s ui7 g uan5,sui* guan*,s ui* g uan*
鹿野,鹿野,Lo̍k-iá,lok8 ia2,l ok8 ia2,lok* ia*,l ok* ia*
山里,山里,San-lí,san1 li2,s an1 l i2,san* li*,s an* l i*
臺東,臺東,Tâi-tang,tai5 tang1,t ai5 t ang1,tai* tang*,t ai* t ang*
千甲,千甲,Tshian-kah,tshian1 kah4,tsh ian1 k ah4,tshian* kah*,tsh ian* k ah*
新莊,新莊,sin-tsng,sin1 tsng1,s in1 ts ng1,sin* tsng*,s in* ts ng*
竹中,竹中,Tik-tiong,tik4 tiong1,t ik4 t iong1,tik* tiong*,t ik* t iong*
六家,六家,lio̍k-ka,liok8 ka1,l iok8 k a1,liok* ka*,l iok* k a*
長榮大學,長榮大學,Tiông-îng Tāi-ha̍k,tiong5 ing5 tai7 hak8,t iong5 ing5 t ai7 h ak8,tiong* ing* tai* hak*,t iong* ing* t ai* h ak*
沙崙,沙崙,Sua-lûn,sua1 lun5,s ua1 l un5,sua* lun*,s ua* l un*
海科館,海科館,Hái-kho-kuán,hai2 kho1 kuan2,h ai2 kh o1 k uan2,hai* kho* kuan*,h ai* kh o* k uan*
八斗子,八斗仔,Peh-táu-á,peh4 tau2 a2,p eh4 t au2 a2,peh* tau* a*,p eh* t au* a*
大華,大華,Tāi-huâ,tai7 hua5,t ai7 h ua5,tai* hua*,t ai* h ua*
十分,十分,Tsa̍p-hūn,tsap8 hun7,ts ap8 h un7,tsap* hun*,ts ap* h un*
望古,望古,Bāng-kóo,bang7 koo2,b ang7 k oo2,bang* koo*,b ang* k oo*
嶺腳,嶺腳,Niá-kha,nia2 kha1,n ia2 kh a1,nia* kha*,n ia* kh a*
平溪,平溪,Pîng-khe,ping5 khe1,p ing5 kh e1,ping* khe*,p ing* kh e*
菁桐,菁桐,Tshinn-tông,tshinn1 tong5,tsh inn1 t ong5,tshinn* tong*,tsh inn* t ong*
上員,上員,Siōng-guân,siong7 guan5,s iong7 g uan5,siong* guan*,s iong* g uan*
榮華,榮華,Îng-huâ,ing5 hua5,ing5 h ua5,ing* hua*,ing* h ua*
竹東,竹東,Tik-tang,tik4 tang1,t ik4 t ang1,tik* tang*,t ik* t ang*
橫山,橫山,Huâinn-suann,huainn5 suann1,h uainn5 s uann1,huainn* suann*,h uainn* s uann*
九讚頭,九讚頭,Káu-tsàn-thâu,kau2 tsan3 thau5,k au2 ts an3 th au5,kau* tsan* thau*,k au* ts an* th au*
合興,合興,Ha̍p-hing,hap8 hing1,h ap8 h ing1,hap* hing*,h ap* h ing*
富貴,富貴,hù-kuì,hu3 kui3,h u3 k ui3,hu* kui*,h u* k ui*
內灣,內灣,Lāi-uan,lai7 uan1,l ai7 uan1,lai* uan*,l ai* uan*
源泉,源泉,guân-tsuânn,guan5 tsuann5,g uan5 ts uann5,guan* tsuann*,g uan* ts uann*
濁水,濁水,Lô-tsuí,lo5 tsui2,l o5 ts ui2,lo* tsui*,l o* ts ui*
龍泉,龍泉,Lîng-tsuânn,ling5 tsuann5,l ing5 ts uann5,ling* tsuann*,l ing* ts uann*
集集,集集,Tsi̍p-tsi̍p,tsip8 tsip8,ts ip8 ts ip8,tsip* tsip*,ts ip* ts ip*
水里,水里,tsuí-lí,tsui2 li2,ts ui2 l i2,tsui* li*,ts ui* l i*
車埕,車埕,Tshia-tiânn,tshia1 tiann5,tsh ia1 t iann5,tshia* tiann*,tsh ia* t iann*
